,DATE,EURO19INTERESTRATE
0,2000-01-01,3.0429
1,2000-02-01,3.2757
2,2000-03-01,3.5104
3,2000-04-01,3.685
4,2000-05-01,3.92
5,2000-06-01,4.2945
6,2000-07-01,4.3086
7,2000-08-01,4.4191
8,2000-09-01,4.5905
9,2000-10-01,4.7627
10,2000-11-01,4.8291
11,2000-12-01,4.8268
12,2001-01-01,4.7559
13,2001-02-01,4.9925
14,2001-03-01,4.7814
15,2001-04-01,5.0642
16,2001-05-01,4.6536
17,2001-06-01,4.5395
18,2001-07-01,4.5055
19,2001-08-01,4.4913
20,2001-09-01,3.9865
21,2001-10-01,3.9713
22,2001-11-01,3.5073
23,2001-12-01,3.3389
24,2002-01-01,3.2936
25,2002-02-01,3.283
26,2002-03-01,3.264
27,2002-04-01,3.3162
28,2002-05-01,3.31
29,2002-06-01,3.3485
30,2002-07-01,3.3017
31,2002-08-01,3.2927
32,2002-09-01,3.3186
33,2002-10-01,3.3004
34,2002-11-01,3.3043
35,2002-12-01,3.0945
36,2003-01-01,2.7868
37,2003-02-01,2.7635
38,2003-03-01,2.749
39,2003-04-01,2.5605
40,2003-05-01,2.5571
41,2003-06-01,2.2133
42,2003-07-01,2.0783
43,2003-08-01,2.0981
44,2003-09-01,2.0209
45,2003-10-01,2.0148
46,2003-11-01,1.973
47,2003-12-01,2.0567
48,2004-01-01,2.0214
49,2004-02-01,2.0315
50,2004-03-01,2.0057
51,2004-04-01,2.078
52,2004-05-01,2.0152
53,2004-06-01,2.0277
54,2004-07-01,2.0677
55,2004-08-01,2.0405
56,2004-09-01,2.0518
57,2004-10-01,2.1114
58,2004-11-01,2.085
59,2004-12-01,2.0535
60,2005-01-01,2.0771
61,2005-02-01,2.0585
62,2005-03-01,2.0567
63,2005-04-01,2.0757
64,2005-05-01,2.07
65,2005-06-01,2.0623
66,2005-07-01,2.0729
67,2005-08-01,2.0609
68,2005-09-01,2.0941
69,2005-10-01,2.0671
70,2005-11-01,2.0859
71,2005-12-01,2.2757
72,2006-01-01,2.3264
73,2006-02-01,2.3495
74,2006-03-01,2.52
75,2006-04-01,2.6283
76,2006-05-01,2.5768
77,2006-06-01,2.6977
78,2006-07-01,2.8138
79,2006-08-01,2.9683
80,2006-09-01,3.041
81,2006-10-01,3.2782
82,2006-11-01,3.3277
83,2006-12-01,3.5011
84,2007-01-01,3.5632
85,2007-02-01,3.5695
86,2007-03-01,3.6909
87,2007-04-01,3.8195
88,2007-05-01,3.7905
89,2007-06-01,3.9557
90,2007-07-01,4.0632
91,2007-08-01,4.0474
92,2007-09-01,4.0286
93,2007-10-01,3.9414
94,2007-11-01,4.0221
95,2007-12-01,3.8791
96,2008-01-01,4.0218
97,2008-02-01,4.0279
98,2008-03-01,4.091
99,2008-04-01,3.9868
100,2008-05-01,4.0097
101,2008-06-01,4.0067
102,2008-07-01,4.1908
103,2008-08-01,4.2989
104,2008-09-01,4.2733
105,2008-10-01,3.8198
106,2008-11-01,3.1502
107,2008-12-01,2.4864
108,2009-01-01,1.8122
109,2009-02-01,1.2571
110,2009-03-01,1.062
111,2009-04-01,0.8419
112,2009-05-01,0.7821
113,2009-06-01,0.698
114,2009-07-01,0.3576
115,2009-08-01,0.3475
116,2009-09-01,0.3632
117,2009-10-01,0.3587
118,2009-11-01,0.3624
119,2009-12-01,0.3546
120,2010-01-01,0.344
121,2010-02-01,0.3406
122,2010-03-01,0.3477
123,2010-04-01,0.3533
124,2010-05-01,0.3439
125,2010-06-01,0.3543
126,2010-07-01,0.4811
127,2010-08-01,0.4256
128,2010-09-01,0.4536
129,2010-10-01,0.7013
130,2010-11-01,0.5926
131,2010-12-01,0.4981
132,2011-01-01,0.659
133,2011-02-01,0.7071
134,2011-03-01,0.6587
135,2011-04-01,0.9661
136,2011-05-01,1.0334
137,2011-06-01,1.124
138,2011-07-01,1.0118
139,2011-08-01,0.9058
140,2011-09-01,1.0055
141,2011-10-01,0.9596
142,2011-11-01,0.79
143,2011-12-01,0.627
144,2012-01-01,0.38
145,2012-02-01,0.3656
146,2012-03-01,0.3567
147,2012-04-01,0.3451
148,2012-05-01,0.337
149,2012-06-01,0.332
150,2012-07-01,0.1842
151,2012-08-01,0.1101
152,2012-09-01,0.0993
153,2012-10-01,0.0907
154,2012-11-01,0.0785
155,2012-12-01,0.0734
156,2013-01-01,0.069
157,2013-02-01,0.0677
158,2013-03-01,0.067
159,2013-04-01,0.081
160,2013-05-01,0.0787
161,2013-06-01,0.0862
162,2013-07-01,0.0931
163,2013-08-01,0.082
164,2013-09-01,0.0803
165,2013-10-01,0.0933
166,2013-11-01,0.1031
167,2013-12-01,0.1686
168,2014-01-01,0.1961
169,2014-02-01,0.1567
170,2014-03-01,0.1919
171,2014-04-01,0.2539
172,2014-05-01,0.248
173,2014-06-01,0.0758
174,2014-07-01,0.0433
175,2014-08-01,0.0179
176,2014-09-01,0.0066
177,2014-10-01,-0.0045
178,2014-11-01,-0.0116
179,2014-12-01,-0.0301
180,2015-01-01,-0.0506
181,2015-02-01,-0.036
182,2015-03-01,-0.0504
183,2015-04-01,-0.0745
184,2015-05-01,-0.1058
185,2015-06-01,-0.1185
186,2015-07-01,-0.1177
187,2015-08-01,-0.1213
188,2015-09-01,-0.1357
189,2015-10-01,-0.1389
190,2015-11-01,-0.1347
191,2015-12-01,-0.199
192,2016-01-01,-0.2387
193,2016-02-01,-0.2404
194,2016-03-01,-0.2877
195,2016-04-01,-0.3378
196,2016-05-01,-0.338
197,2016-06-01,-0.3325
198,2016-07-01,-0.3288
199,2016-08-01,-0.3388
200,2016-09-01,-0.343
201,2016-10-01,-0.3466
202,2016-11-01,-0.3487
203,2016-12-01,-0.3504
204,2017-01-01,-0.3515
205,2017-02-01,-0.3528
206,2017-03-01,-0.3535
207,2017-04-01,-0.3569
208,2017-05-01,-0.3589
209,2017-06-01,-0.3587
210,2017-07-01,-0.3595
211,2017-08-01,-0.3558
212,2017-09-01,-0.3581
213,2017-10-01,-0.359
214,2017-11-01,-0.3492
215,2017-12-01,-0.3423
216,2018-01-01,-0.3624
217,2018-02-01,-0.3647
218,2018-03-01,-0.3639
219,2018-04-01,-0.3657
220,2018-05-01,-0.3625
221,2018-06-01,-0.3618
222,2018-07-01,-0.3636
223,2018-08-01,-0.3591
224,2018-09-01,-0.3627
225,2018-10-01,-0.366
226,2018-11-01,-0.3613
227,2018-12-01,-0.3605
228,2019-01-01,-0.367
229,2019-02-01,-0.367
230,2019-03-01,-0.3679
231,2019-04-01,-0.367
232,2019-05-01,-0.3666
233,2019-06-01,-0.3616
234,2019-07-01,-0.3668
235,2019-08-01,-0.3612
236,2019-09-01,-0.4032
237,2019-10-01,-0.549597777777778
238,2019-11-01,-0.53915
239,2019-12-01,-0.540201
240,2020-01-01,-0.537421363636364
241,2020-02-01,-0.5382235
242,2020-03-01,-0.535628636363636
243,2020-04-01,-0.5354685
244,2020-05-01,-0.540192
245,2020-06-01,-0.544465
246,2020-07-01,-0.549555652173913
247,2020-08-01,-0.552087619047619
248,2020-09-01,-0.552932727272727
249,2020-10-01,-0.554640909090909
250,2020-11-01,-0.55621619047619
251,2020-12-01,-0.556349090909091
252,2021-01-01,-0.5657645
253,2021-02-01,-0.563521
254,2021-03-01,-0.56376652173913
255,2021-04-01,-0.5660555
256,2021-05-01,-0.56470619047619
257,2021-06-01,-0.564125909090909
258,2021-07-01,-0.566522272727273
259,2021-08-01,-0.5681
260,2021-09-01,-0.569360454545455
261,2021-10-01,-0.570412857142857
262,2021-11-01,-0.573237272727273
263,2021-12-01,-0.576372173913044
264,2022-01-01,-0.579465714285714
265,2022-02-01,-0.576333
266,2022-03-01,-0.577703043478261
267,2022-04-01,-0.583707368421053
268,2022-05-01,-0.584741363636364
269,2022-06-01,-0.582624090909091
270,2022-07-01,-0.571064285714286
271,2022-08-01,-0.0946521739130435
272,2022-09-01,0.254584090909091
273,2022-10-01,0.655378571428571
274,2022-11-01,1.26661954545455
275,2022-12-01,1.50396476190476
276,2023-01-01,1.90131181818182
277,2023-02-01,2.200642
278,2023-03-01,2.50836391304348
279,2023-04-01,2.89908111111111
280,2023-05-01,3.04630909090909
281,2023-06-01,3.20459045454545
282,2023-07-01,3.40326333333333
283,2023-08-01,3.61036652173913
284,2023-09-01,3.7125219047619
285,2023-10-01,3.90106045454545
286,2023-11-01,3.90274363636364
287,2023-12-01,3.90344210526316
